Num_Bank_Accounts,Num_of_Delayed_Payment,Changed_Credit_Limit,Credit_Mix,Payment_of_Min_Amount
3.0,7.0,11.27,0,1
3.0,19.0,11.27,2,1
3.0,4.0,6.27,2,1
3.0,19.0,11.27,2,1
3.0,4.0,9.27,2,1
3.0,8.0,11.27,2,1
3.0,6.0,11.27,2,1
2.0,4.0,5.42,2,1
2.0,1.0,7.42,2,1
2.0,3.0,5.42,2,1
2.0,1.0,6.42,2,1
2.0,0.0,5.42,2,1
2.0,4.0,5.42,2,0
2.0,4.0,5.42,2,1
1.0,8.0,7.1,2,1
1.0,6.0,7.1,2,1
1.0,7.0,11.1,2,1
1.0,5.0,7.1,2,1
1.0,6.0,7.1,2,1
1.0,6.0,7.1,2,1
2.0,6.0,1.99,2,1
2.0,3.0,1.99,2,1
2.0,9.0,1.99,2,0
2.0,6.0,10.23199443955013,2,1
2.0,6.0,10.23199443955013,2,1
2.0,6.0,10.23199443955013,0,1
2.0,19.0,1.99,2,1
2.0,9.0,1.99,2,1
7.0,19.0,2.58,3,2
7.0,19.0,2.58,3,0
7.0,12.0,2.58,3,2
7.0,15.0,2.58,0,2
7.0,17.0,2.58,0,2
7.0,15.0,2.58,3,2
7.0,15.0,2.58,3,2
7.0,15.0,2.58,3,2
4.0,7.0,10.14,2,0
4.0,7.0,10.14,2,1
4.0,7.0,10.14,2,1
4.0,4.0,9.14,0,1
4.0,7.0,10.14,2,1
0.0,3.0,9.34,2,0
8.0,14.0,17.13,0,2
8.0,14.0,17.13,3,2
8.0,14.0,21.13,0,2
8.0,14.0,17.13,0,2
8.0,14.0,18.13,3,2
8.0,11.0,17.13,3,0
8.0,14.0,17.13,0,2
2.0,11.0,8.24,2,1
2.0,8.0,10.23199443955013,2,0
2.0,11.0,10.23199443955013,2,0
2.0,14.0,8.24,2,1
2.0,14.0,8.24,0,0
2.0,19.0,8.24,2,1
2.0,11.0,8.24,2,1
0.0,0.0,5.76,2,0
1.0,0.0,10.23199443955013,2,1
1.0,0.0,1.7599999999999998,2,1
1.0,0.0,5.76,0,1
1.0,0.0,5.76,2,1
1.0,2.0,5.76,2,1
1.0,2.0,5.76,0,1
5.0,20.0,11.0,3,0
5.0,20.0,11.0,3,2
5.0,20.0,11.0,3,2
5.0,22.0,11.0,3,2
5.0,20.0,8.0,3,2
5.0,20.0,11.0,3,2
5.0,20.0,11.0,3,2
5.0,17.0,11.0,3,2
3.0,0.0,3.51,2,1
3.0,0.0,3.51,2,1
3.0,2.0,3.51,2,1
3.0,2.0,3.51,2,1
3.0,19.0,3.51,2,1
6.0,8.0,5.54,3,2
6.0,10.0,4.54,3,2
6.0,11.0,5.54,0,0
6.0,7.0,0.54,3,2
6.0,8.0,11.54,3,2
6.0,8.0,5.54,0,2
6.0,8.0,5.54,3,2
6.0,8.0,5.54,3,2
6.0,9.0,8.86,0,2
6.0,9.0,8.86,3,2
6.0,19.0,8.86,3,0
6.0,7.0,8.86,3,2
6.0,9.0,8.86,3,2
6.0,6.0,10.23199443955013,3,2
6.0,9.0,10.23199443955013,3,2
6.0,9.0,8.86,3,0
8.0,14.0,7.83,3,0
8.0,10.0,7.83,3,2
8.0,10.0,7.83,3,2
