Changed_Credit_Limit,Num_of_Delayed_Payment,Payment_of_Min_Amount,Num_Bank_Accounts,Credit_Mix,Interest_Rate,Num_Credit_Card
11.27,7.0,1,3.0,0,3,4
11.27,19.0,1,3.0,2,3,4
6.27,4.0,1,3.0,2,3,4
11.27,19.0,1,3.0,2,3,4
9.27,4.0,1,3.0,2,3,4
11.27,8.0,1,3.0,2,3,4
11.27,6.0,1,3.0,2,3,4
5.42,4.0,1,2.0,2,6,4
7.42,1.0,1,2.0,2,6,4
5.42,3.0,1,2.0,2,6,4
6.42,1.0,1,2.0,2,6,4
5.42,0.0,1,2.0,2,6,4
5.42,4.0,0,2.0,2,6,4
5.42,4.0,1,2.0,2,6,4
7.1,8.0,1,1.0,2,8,5
7.1,6.0,1,1.0,2,8,5
11.1,7.0,1,1.0,2,8,5
7.1,5.0,1,1.0,2,8,5
7.1,6.0,1,1.0,2,8,5
7.1,6.0,1,1.0,2,8,5
1.99,6.0,1,2.0,2,4,5
1.99,3.0,1,2.0,2,4,5
1.99,9.0,0,2.0,2,4,5
10.23199443955013,6.0,1,2.0,2,4,5
10.23199443955013,6.0,1,2.0,2,4,5
10.23199443955013,6.0,1,2.0,0,4,5
1.99,19.0,1,2.0,2,4,5
1.99,9.0,1,2.0,2,4,5
2.58,19.0,2,7.0,3,5,5
2.58,19.0,0,7.0,3,5,5
2.58,12.0,2,7.0,3,5,5
2.58,15.0,2,7.0,0,5,5
2.58,17.0,2,7.0,0,5,5
2.58,15.0,2,7.0,3,5,5
2.58,15.0,2,7.0,3,5,5
2.58,15.0,2,7.0,3,5,5
10.14,7.0,0,4.0,2,8,5
10.14,7.0,1,4.0,2,8,5
10.14,7.0,1,4.0,2,8,5
9.14,4.0,1,4.0,0,8,5
10.14,7.0,1,4.0,2,8,5
9.34,3.0,0,0.0,2,8,1
17.13,14.0,2,8.0,0,15,7
17.13,14.0,2,8.0,3,15,7
21.13,14.0,2,8.0,0,15,7
17.13,14.0,2,8.0,0,15,7
18.13,14.0,2,8.0,3,15,7
17.13,11.0,0,8.0,3,15,7
17.13,14.0,2,8.0,0,15,7
8.24,11.0,1,2.0,2,7,5
10.23199443955013,8.0,0,2.0,2,7,5
10.23199443955013,11.0,0,2.0,2,7,5
8.24,14.0,1,2.0,2,7,5
8.24,14.0,0,2.0,0,7,5
8.24,19.0,1,2.0,2,7,5
8.24,11.0,1,2.0,2,7,5
5.76,0.0,0,0.0,2,12,5
10.23199443955013,0.0,1,1.0,2,12,6
1.7599999999999998,0.0,1,1.0,2,12,6
5.76,0.0,1,1.0,0,12,6
5.76,0.0,1,1.0,2,12,6
5.76,2.0,1,1.0,2,12,6
5.76,2.0,1,1.0,0,12,6
11.0,20.0,0,5.0,3,20,5
11.0,20.0,2,5.0,3,20,5
11.0,20.0,2,5.0,3,20,5
11.0,22.0,2,5.0,3,20,5
8.0,20.0,2,5.0,3,20,5
11.0,20.0,2,5.0,3,20,5
11.0,20.0,2,5.0,3,20,5
11.0,17.0,2,5.0,3,20,5
3.51,0.0,1,3.0,2,1,6
3.51,0.0,1,3.0,2,1,6
3.51,2.0,1,3.0,2,1,6
3.51,2.0,1,3.0,2,1,6
3.51,19.0,1,3.0,2,1,6
5.54,8.0,2,6.0,3,14,4
4.54,10.0,2,6.0,3,14,4
5.54,11.0,0,6.0,0,14,4
0.54,7.0,2,6.0,3,14,4
11.54,8.0,2,6.0,3,14,4
5.54,8.0,2,6.0,0,14,4
5.54,8.0,2,6.0,3,14,4
5.54,8.0,2,6.0,3,14,4
8.86,9.0,2,6.0,0,32,5
8.86,9.0,2,6.0,3,32,5
8.86,19.0,0,6.0,3,32,5
8.86,7.0,2,6.0,3,32,5
8.86,9.0,2,6.0,3,32,5
10.23199443955013,6.0,2,6.0,3,32,5
10.23199443955013,9.0,2,6.0,3,32,5
8.86,9.0,0,6.0,3,32,5
7.83,14.0,0,8.0,3,14,7
7.83,10.0,2,8.0,3,14,7
7.83,10.0,2,8.0,3,14,7
7.83,13.0,2,8.0,0,14,7
7.83,10.0,2,8.0,0,14,7
10.83,14.0,2,8.0,3,14,7
7.83,13.0,2,8.0,3,14,7
6.28,14.0,2,6.0,3,7,6
6.28,14.0,2,6.0,3,7,6
6.28,14.0,2,6.0,0,7,6
6.28,14.0,2,6.0,3,7,6
6.28,14.0,2,6.0,3,7,6
6.28,16.0,2,6.0,3,7,6
6.28,16.0,2,6.0,3,7,6
9.13,11.0,2,6.0,3,16,7
9.13,11.0,2,6.0,0,16,7
9.13,11.0,2,6.0,3,16,7
9.13,8.0,0,6.0,3,16,7
13.13,13.0,2,6.0,3,16,7
9.13,10.0,2,6.0,0,16,7
9.13,11.0,2,6.0,3,16,7
9.22,12.0,2,6.0,3,17,7
9.22,12.0,2,6.0,3,17,7
9.22,12.0,2,6.0,3,17,7
9.22,12.0,2,6.0,3,17,7
8.22,19.0,2,6.0,0,17,7
8.22,12.0,2,6.0,3,17,7
9.22,19.0,2,6.0,3,17,7
2.2200000000000006,12.0,2,6.0,3,17,7
17.92,8.0,2,6.0,3,12,6
11.920000000000002,8.0,2,6.0,0,12,6
17.92,7.0,2,6.0,0,12,6
9.95,19.0,2,6.0,1,17,7
9.95,18.0,0,6.0,1,17,7
15.95,19.0,2,6.0,0,17,7
9.95,19.0,2,6.0,1,17,7
9.95,19.0,2,6.0,1,17,7
9.95,19.0,2,6.0,1,17,7
4.17,12.0,0,7.0,0,17,5
4.17,14.0,1,7.0,0,17,5
4.17,12.0,1,7.0,3,17,5
4.17,19.0,1,7.0,3,17,5
4.17,12.0,1,7.0,3,17,5
4.17,15.0,1,7.0,3,17,5
8.969999999999997,19.0,2,7.0,1,17,5
7.97,18.0,0,7.0,1,17,5
7.97,23.0,2,7.0,1,17,5
7.97,20.0,2,7.0,0,17,5
7.97,19.0,2,7.0,1,17,5
7.97,21.0,2,7.0,0,17,5
7.97,21.0,2,7.0,1,17,5
0.86,8.0,1,4.0,0,1,4
